Mod:Item:MetaData, Localized Name
extracells:pattern.fluid:0, ME Fluid Pattern: Growth Medium
extracells:pattern.fluid:0, ME Fluid Pattern: Bacteria
extracells:pattern.fluid:0, ME Fluid Pattern: Polymerising Bacteria
extracells:pattern.fluid:0, ME Fluid Pattern: Raw DNA
extracells:pattern.fluid:0, ME Fluid Pattern: Bacteria Vector
extracells:pattern.fluid:0, ME Fluid Pattern: Sap
extracells:pattern.fluid:0, ME Fluid Pattern: Resin
extracells:pattern.fluid:0, ME Fluid Pattern: Latex
extracells:pattern.fluid:0, ME Fluid Pattern: Turpentine
extracells:pattern.fluid:0, ME Fluid Pattern: Apple Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Apricot Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Banana Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Cherry Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Elderberry Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Lemon Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Lime Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Orange Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Peach Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Plum Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Carrot Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Tomato Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Cranberry Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Grapefruit Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Olive Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Pineapple Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Pear Juice
extracells:pattern.fluid:0, ME Fluid Pattern: White Grape Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Red Grape Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Cider
extracells:pattern.fluid:0, ME Fluid Pattern: Apricot Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Banana Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Cherry Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Elderberry Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Peach Cider
extracells:pattern.fluid:0, ME Fluid Pattern: Pear Cider
extracells:pattern.fluid:0, ME Fluid Pattern: Plum Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Carrot Wine
extracells:pattern.fluid:0, ME Fluid Pattern: White Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Red Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Sparkling Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Agave Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Fermented Potatoes
extracells:pattern.fluid:0, ME Fluid Pattern: Citrus Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Cranberry Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Pineapple Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Tomato Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Fruit Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Ale
extracells:pattern.fluid:0, ME Fluid Pattern: Lager
extracells:pattern.fluid:0, ME Fluid Pattern: Wheat Beer
extracells:pattern.fluid:0, ME Fluid Pattern: Rye Beer
extracells:pattern.fluid:0, ME Fluid Pattern: Corn Beer
extracells:pattern.fluid:0, ME Fluid Pattern: Stout
extracells:pattern.fluid:0, ME Fluid Pattern: Fermented Grain Mash
extracells:pattern.fluid:0, ME Fluid Pattern: Fermented Wheat Mash
extracells:pattern.fluid:0, ME Fluid Pattern: Fermented Rye Mash
extracells:pattern.fluid:0, ME Fluid Pattern: Fermented Corn Mash
extracells:pattern.fluid:0, ME Fluid Pattern: Neutral Spirit
extracells:pattern.fluid:0, ME Fluid Pattern: Vodka
extracells:pattern.fluid:0, ME Fluid Pattern: White Rum
extracells:pattern.fluid:0, ME Fluid Pattern: Dark Rum
extracells:pattern.fluid:0, ME Fluid Pattern: Whiskey
extracells:pattern.fluid:0, ME Fluid Pattern: Bourbon
extracells:pattern.fluid:0, ME Fluid Pattern: Rye Whiskey
extracells:pattern.fluid:0, ME Fluid Pattern: Wheat Whiskey
extracells:pattern.fluid:0, ME Fluid Pattern: Fortified Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Tequila
extracells:pattern.fluid:0, ME Fluid Pattern: Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Apple Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Pear Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Apricot Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Plum Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Cherry Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Elderberry Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Citrus Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Fruit Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Cachaca
extracells:pattern.fluid:0, ME Fluid Pattern: Gin
extracells:pattern.fluid:0, ME Fluid Pattern: Apple Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Pear Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Cherry Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Elderberry Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Apricot Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Fruit Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Almond Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Orange Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Banana Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Chocolate Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Mint Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Hazelnut Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Cinnamon Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Coffee Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Melon Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Anise Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Peach Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Lemon Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Herbal Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Cherry Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Blackcurrant Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Blackberry Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Raspberry Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Poison
extracells:pattern.fluid:0, ME Fluid Pattern: Amber
extracells:pattern.fluid:0, ME Fluid Pattern: Crystallized Obsidian
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid XP
extracells:pattern.fluid:0, ME Fluid Pattern: Honey
extracells:pattern.fluid:0, ME Fluid Pattern: Anti-Venom
extracells:pattern.fluid:0, ME Fluid Pattern: Beetle Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Formic Acid
extracells:pattern.fluid:0, ME Fluid Pattern: Witchwater
extracells:pattern.fluid:0, ME Fluid Pattern: Sulphuric Acid
extracells:pattern.fluid:0, ME Fluid Pattern: Propane
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Sulphur
extracells:pattern.fluid:0, ME Fluid Pattern: Energite
extracells:pattern.fluid:0, ME Fluid Pattern: Liquefied Glowstone
extracells:pattern.fluid:0, ME Fluid Pattern: Mutagen
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid DNA
extracells:pattern.fluid:0, ME Fluid Pattern: Protein
extracells:pattern.fluid:0, ME Fluid Pattern: Essence
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Meat
extracells:pattern.fluid:0, ME Fluid Pattern: Latex
extracells:pattern.fluid:0, ME Fluid Pattern: Sewage
extracells:pattern.fluid:0, ME Fluid Pattern: Sludge
extracells:pattern.fluid:0, ME Fluid Pattern: Biofuel
extracells:pattern.fluid:0, ME Fluid Pattern: Pink Slime
extracells:pattern.fluid:0, ME Fluid Pattern: Protein
extracells:pattern.fluid:0, ME Fluid Pattern: Raw Ore Meat
extracells:pattern.fluid:0, ME Fluid Pattern: Fermented Ore Meat
extracells:pattern.fluid:0, ME Fluid Pattern: Menril Resin
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Chorus
extracells:pattern.fluid:0, ME Fluid Pattern: Oxygen
extracells:pattern.fluid:0, ME Fluid Pattern: Hydrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Deuterium
extracells:pattern.fluid:0, ME Fluid Pattern: Tritium
extracells:pattern.fluid:0, ME Fluid Pattern: Helium-3
extracells:pattern.fluid:0, ME Fluid Pattern: Helium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Boron
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Boron-10
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Boron-11
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Lithium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Lithium-6
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Lithium-7
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Ferroboron
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Tough Alloy
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Hard Carbon
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Beryllium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Manganese
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Manganese Dioxide
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Sulfur
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Arsenic
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Helium
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Nitrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Plasma
extracells:pattern.fluid:0, ME Fluid Pattern: Neutron Fluid
extracells:pattern.fluid:0, ME Fluid Pattern: Ethanol
extracells:pattern.fluid:0, ME Fluid Pattern: Methanol
extracells:pattern.fluid:0, ME Fluid Pattern: RadAway Fluid
extracells:pattern.fluid:0, ME Fluid Pattern: Slow-Acting RadAway Fluid
extracells:pattern.fluid:0, ME Fluid Pattern: Nitrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Fluorine
extracells:pattern.fluid:0, ME Fluid Pattern: Carbon Dioxide
extracells:pattern.fluid:0, ME Fluid Pattern: Carbon Monoxide
extracells:pattern.fluid:0, ME Fluid Pattern: Ethylene
extracells:pattern.fluid:0, ME Fluid Pattern: Fluoromethane
extracells:pattern.fluid:0, ME Fluid Pattern: Ammonia
extracells:pattern.fluid:0, ME Fluid Pattern: Oxygen Difluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Diborane
extracells:pattern.fluid:0, ME Fluid Pattern: Sulfur Dioxide
extracells:pattern.fluid:0, ME Fluid Pattern: Sulfur Trioxide
extracells:pattern.fluid:0, ME Fluid Pattern: Hydrofluoric Acid
extracells:pattern.fluid:0, ME Fluid Pattern: Boric Acid
extracells:pattern.fluid:0, ME Fluid Pattern: Sulfuric Acid
extracells:pattern.fluid:0, ME Fluid Pattern: Boron Nitride Solution
extracells:pattern.fluid:0, ME Fluid Pattern: Fluorite Water
extracells:pattern.fluid:0, ME Fluid Pattern: Calcium Sulfate Solution
extracells:pattern.fluid:0, ME Fluid Pattern: Sodium Fluoride Solution
extracells:pattern.fluid:0, ME Fluid Pattern: Potassium Fluoride Solution
extracells:pattern.fluid:0, ME Fluid Pattern: Sodium Hydroxide Solution
extracells:pattern.fluid:0, ME Fluid Pattern: Potassium Hydroxide Solution
extracells:pattern.fluid:0, ME Fluid Pattern: Borax Solution
extracells:pattern.fluid:0, ME Fluid Pattern: Corium
extracells:pattern.fluid:0, ME Fluid Pattern: Chocolate Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Cocoa Butter
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Unsweetened Chocolate
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Dark Chocolate
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Milk Chocolate
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Sugar
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Gelatin
extracells:pattern.fluid:0, ME Fluid Pattern: Hydrated Gelatin
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Marshmallow
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Lithium Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Beryllium Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Sodium Hydroxide
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Potassium Hydroxide
extracells:pattern.fluid:0, ME Fluid Pattern: High Pressure Steam
extracells:pattern.fluid:0, ME Fluid Pattern: Exhaust Steam
extracells:pattern.fluid:0, ME Fluid Pattern: Low Pressure Steam
extracells:pattern.fluid:0, ME Fluid Pattern: Low Quality Steam
extracells:pattern.fluid:0, ME Fluid Pattern: Preheated Water
extracells:pattern.fluid:0, ME Fluid Pattern: Condensate Water
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Sodium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Potassium
extracells:pattern.fluid:0, ME Fluid Pattern: Eutectic NaK Alloy
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Eutectic NaK Alloy
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Boron Arsenide
extracells:pattern.fluid:0, ME Fluid Pattern: Silicon Carbide Vapor
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Alugentum
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Alumina
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Aluminum
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Silver
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Thorium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Thorium Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Thorium Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Uranium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Uranium Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Uranium Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Plutonium Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Thorium-230
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Thorium-230 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Thorium-230 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Uranium-233
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Uranium-233 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Uranium-233 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Uranium-235
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Uranium-235 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Uranium-235 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Uranium-238
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Uranium-238 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Uranium-238 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Neptunium-236
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Neptunium-236 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Neptunium-236 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Neptunium-237
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Neptunium-237 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Neptunium-237 
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium-238
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium-238 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Plutonium-238 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium-239
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium-239 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Plutonium-239 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium-241
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium-241 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Plutonium-241 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium-242
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Plutonium-242 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Plutonium-242 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Americium-241
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Americium-241 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Americium-241 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Americium-242
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Americium-242 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Americium-242 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Americium-243
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Americium-243 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Americium-243 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Curium-243
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Curium-243 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Curium-243 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Curium-245
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Curium-245 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Curium-245 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Curium-246
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Curium-246 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Curium-246 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Curium-247
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Curium-247 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Curium-247 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Berkelium-247
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Berkelium-247 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Berkelium-247 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Berkelium-248
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Berkelium-248 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Berkelium-248 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Californium-249
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Californium-249 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Californium-249 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Californium-250
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Californium-250 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Californium-250 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Californium-251
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Californium-251 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Californium-251 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Californium-252
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Californium-252 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of Californium-252 Fluoride
extracells:pattern.fluid:0, ME Fluid Pattern: Molten TBU Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten TBU Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of TBU Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LEU-233 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LEU-233 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LEU-233 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HEU-233 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HEU-233 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HEU-233 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LEU-235 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LEU-235 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LEU-235 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HEU-235 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HEU-235 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HEU-235 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LEN-236 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LEN-236 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LEN-236 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HEN-236 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HEN-236 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HEN-236 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LEP-239 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LEP-239 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LEP-239 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HEP-239 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HEP-239 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HEP-239 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LEP-241 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LEP-241 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LEP-241 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HEP-241 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HEP-241 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HEP-241 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LEA-242 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LEA-242 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LEA-242 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HEA-242 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HEA-242 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HEA-242 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LECm-243 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LECm-243 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LECm-243 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECm-243 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECm-243 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HECm-243 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LECm-245 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LECm-245 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LECm-245 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECm-245 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECm-245 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HECm-245 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LECm-247 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LECm-247 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LECm-247 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECm-247 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECm-247 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HECm-247 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LEB-248 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LEB-248 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LEB-248 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HEB-248 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HEB-248 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HEB-248 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LECf-249 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LECf-249 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LECf-249 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECf-249 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECf-249 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HECf-249 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LECf-251 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten LECf-251 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of LECf-251 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECf-251 Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten HECf-251 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten FLiBe Salt Solution of HECf-251 Fluoride Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted TBU Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Depleted TBU Fluoride Fuel
